Aar;Antall_rein
2001;157271
2002;183279
2003;201606
2004;225661
2005;229405
2006;227682
2007;236210
2008;247930
2009;242209
2010;248107
2011;243412
2012;250163
2013;243168
2014;228066
2015;205735
2016;208622
2017;208950
2018;207200
2019;212617
2020;214055
2021;211825
2022;215898
2023;213869
